ObjectID,GlobalID,CreationDate,Creator,EditDate,Editor,Shoot Name,Date and Time of Shoot,Location,Temperature,Shoes,Weather Conditions Present,Personal Conditions,x,y
1,7898f285-2ea8-430e-bf46-8e2631d1608f,6/28/2024 12:42:15 PM,emily.bartee,6/28/2024 12:42:15 PM,emily.bartee,Metropolis ASA Warmup Range,6/28/2024 12:41:00 PM,Outdoor,95,Minimal Shoes,"Sunny,Humid",Tired,-88.85118948,37.27182899
2,c2bbd987-9d16-4aac-a7fd-1af6122b57be,6/29/2024 12:08:24 PM,emily.bartee,6/29/2024 12:08:24 PM,emily.bartee,Metropolis ASA Day 2,6/29/2024 12:07:00 PM,Outdoor,95,Minimal Shoes,"Sunny,Humid","Well_Rested,Full",-88.85091227,37.27516874
